player_id,name_first,name_last,name_full,dummy
schugaj01,A. J.,Schugel,A. J. Schugel,1
schulal01,Al,Schulz,Al Schulz,1
schular01,Art,Schult,Art Schult,1
schulba01,Barney,Schultz,Barney Schultz,1
schulbo01,Bob,Schultz,Bob Schultz,1
schulbo02,Bo,Schultz,Bo Schultz,1
schulbu01,Buddy,Schultz,Buddy Schultz,1
schulda01,Dave,Schuler,Dave Schuler,1
schuldo01,Don,Schulze,Don Schulze,1
schuler01,Erik,Schullstrom,Erik Schullstrom,1
schulfr01,Frank,Schulte,Frank Schulte,1
schulfr02,Fred,Schulte,Fred Schulte,1
schulha01,Ham,Schulte,Ham Schulte,1
schulho01,Howie,Schultz,Howie Schultz,1
schulja01,Jack,Schulte,Jack Schulte,1
schulje01,Jeff,Schulz,Jeff Schulz,1
schuljo01,John,Schultz,John Schultz,1
schuljo02,John,Schulze,John Schulze,1
schuljo03,Joe,Schultz,Joe Schultz,1
schuljo04,Johnny,Schulte,Johnny Schulte,1
schuljo05,Joe,Schultz,Joe Schultz,1
schulle01,Len,Schulte,Len Schulte,1
schulmi01,Mike,Schultz,Mike Schultz,1
schulmi02,Mike,Schultz,Mike Schultz,1
schulwa01,Walt,Schulz,Walt Schulz,1
schulwe01,Webb,Schultz,Webb Schultz,1
schulwe02,Wes,Schulmerich,Wes Schulmerich,1
schumha01,Hack,Schumann,Hack Schumann,1
schumha02,Hal,Schumacher,Hal Schumacher,1
schumsk01,Skip,Schumaker,Skip Schumaker,1
schupfe01,Ferdie,Schupp,Ferdie Schupp,1
schuri01,Rick,Schu,Rick Schu,1
schurwa01,Wayne,Schurr,Wayne Schurr,1
schusbi01,Bill,Schuster,Bill Schuster,1
schutca01,Carl,Schutz,Carl Schutz,1
schwabi01,Bill,Schwartz,Bill Schwartz,1
schwabi02,Bill,Schwartz,Bill Schwartz,1
schwabl01,Blackie,Schwamb,Blackie Schwamb,1
schwado01,Don,Schwall,Don Schwall,1
schwaje01,Jeff,Schwarz,Jeff Schwarz,1
schwaky01,Kyle,Schwarber,Kyle Schwarber,1
schwami01,Mike,Schwabe,Mike Schwabe,1
schwara01,Randy,Schwartz,Randy Schwartz,1
schweal01,Al,Schweitzer,Al Schweitzer,1
schweha01,Hal,Schwenk,Hal Schwenk,1
schwepi01,Pi,Schwert,Pi Schwert,1
schweru01,Rudy,Schwenck,Rudy Schwenck,1
schwiar01,Art,Schwind,Art Schwind,1
schwich01,Chris,Schwinden,Chris Schwinden,1
schwimi01,Michael,Schwimer,Michael Schwimer,1
schypje01,Jerry,Schypinski,Jerry Schypinski,1
sciosmi01,Mike,Scioscia,Mike Scioscia,1
scofflo01,Lou,Scoffic,Lou Scoffic,1
scoggji01,Jim,Scoggins,Jim Scoggins,1
sconida01,Daryl,Sconiers,Daryl Sconiers,1
scorehe01,Herb,Score,Herb Score,1
scott01,,Scott, Scott,1
scottda01,Darryl,Scott,Darryl Scott,1
scottdi01,Dick,Scott,Dick Scott,1
scottdi02,Dick,Scott,Dick Scott,1
scottdi03,Dick,Scott,Dick Scott,1
scottdo01,Donnie,Scott,Donnie Scott,1
scotted01,Ed,Scott,Ed Scott,1
scottev01,Everett,Scott,Everett Scott,1
scottga01,Gary,Scott,Gary Scott,1
scottge01,George,Scott,George Scott,1
scottge02,George,Scott,George Scott,1
scottja01,Jack,Scott,Jack Scott,1
scottji01,Jim,Scott,Jim Scott,1
scottji02,John,Scott,John Scott,1
scottjo01,John,Scott,John Scott,1
scottle01,LeGrant,Scott,LeGrant Scott,1
scottle02,Lefty,Scott,Lefty Scott,1
scottlu01,Luke,Scott,Luke Scott,1
scottmi01,Milt,Scott,Milt Scott,1
